Date,Open,High,Low,Close,Adj Close,Volume,stock_symbol,stock_name,stock_industry
1/1/2015,74.39971161,99.01568604,73.66399384,96.14944458,90.54572296,315043187,ADANIENT,Adani Enterprises Ltd.,Metals & Mining
1/2/2015,99.78206635,110.2737427,91.9726944,109.0322113,102.6776733,295555950,ADANIENT,Adani Enterprises Ltd.,Metals & Mining
1/3/2015,107.5990906,111.6838684,89.12944794,94.31781006,88.82083893,192521012,ADANIENT,Adani Enterprises Ltd.,Metals & Mining
1/4/2015,93.31385803,105.606514,92.42485809,103.3380432,97.31535339,150512861,ADANIENT,Adani Enterprises Ltd.,Metals & Mining
1/5/2015,103.3380432,123.2254868,97.0997467,108.2581711,101.9487305,337763561,ADANIENT,Adani Enterprises Ltd.,Metals & Mining
1/6/2015,108.6720123,312.3918762,48.90488434,49.50427628,46.61910248,522293134,ADANIENT,Adani Enterprises Ltd.,Metals & Mining
1/7/2015,49.7494812,50.94826508,43.48311615,47.48814011,44.7204628,154743848,ADANIENT,Adani Enterprises Ltd.,Metals & Mining
1/8/2015,47.84232712,56.15207291,36.67185211,40.94932556,39.71373749,244486839,ADANIENT,Adani Enterprises Ltd.,Metals & Mining
1/9/2015,40.32268906,45.77170181,35.88174438,44.05526352,42.72595978,152530205,ADANIENT,Adani Enterprises Ltd.,Metals & Mining
1/10/2015,44.5184288,55.57992554,43.29240036,50.34887314,48.82966232,176688803,ADANIENT,Adani Enterprises Ltd.,Metals & Mining
1/11/2015,50.40336227,50.53958893,40.48616028,44.89986038,43.54507446,102577105,ADANIENT,Adani Enterprises Ltd.,Metals & Mining
1/12/2015,45.09057617,46.5073204,39.23288727,45.44476318,44.07352448,111378470,ADANIENT,Adani Enterprises Ltd.,Metals & Mining
1/1/2016,45.55374146,50.15815735,36.75358582,39.69605255,38.49827576,143318461,ADANIENT,Adani Enterprises Ltd.,Metals & Mining
1/2/2016,40.07748413,43.42862701,31.71325111,32.01294708,31.04700089,144103852,ADANIENT,Adani Enterprises Ltd.,Metals & Mining
1/3/2016,32.14917374,40.81310272,31.93121147,40.21371078,39.00031662,144284904,ADANIENT,Adani Enterprises Ltd.,Metals & Mining
1/4/2016,40.07748413,48.38722992,39.66880798,47.24293518,46.31303406,150150471,ADANIENT,Adani Enterprises Ltd.,Metals & Mining
